
time,ActualTempMax,ActualTempMin,FeltTemp Max,FeltTempMin,sunrise(iso8601),sunset(iso8601),precipitation_sum(inch),rain_sum(inch),snowfall_sum (cm),precipitation_hours(h),windspeed_10m_max(mp/h),windgusts_10m_max(mp/h)
1971-01-01,28.6,18.2,21.3,9.1,1971-01-01T07:51,1971-01-01T17:15,0.000,0.000,0.00,0.0,9.5,18.3
1971-01-02,37.5,25.1,30.3,17.5,1971-01-02T07:51,1971-01-02T17:16,0.000,0.000,0.00,0.0,10.5,22.8
1971-01-03,39.5,23.1,30.7,15.6,1971-01-03T07:51,1971-01-03T17:17,0.080,0.080,0.00,5.0,12.1,29.1
1971-01-04,50.2,27.6,43.7,16.9,1971-01-04T07:51,1971-01-04T17:18,0.480,0.480,0.00,15.0,16.3,40.5
1971-01-05,26.7,14.8,15.9,4.4,1971-01-05T07:51,1971-01-05T17:18,0.000,0.000,0.00,0.0,12.2,25.1
1971-01-06,19.7,8.8,9.8,-0.8,1971-01-06T07:51,1971-01-06T17:19,0.000,0.000,0.00,0.0,8.5,20.1
1971-01-07,15.8,3.8,4.9,-6.8,1971-01-07T07:50,1971-01-07T17:20,0.000,0.000,0.00,0.0,11.2,25.3
1971-01-08,18.7,5.6,11.2,-2.6,1971-01-08T07:50,1971-01-08T17:21,0.000,0.000,0.00,0.0,4.1,11.0
1971-01-09,29.9,9.9,20.7,1.8,1971-01-09T07:50,1971-01-09T17:22,0.000,0.000,0.00,0.0,9.1,20.1
1971-01-10,38.2,21.3,31.0,12.7,1971-01-10T07:50,1971-01-10T17:23,0.000,0.000,0.00,0.0,8.9,19.9
1971-01-11,39.2,24.6,31.3,18.0,1971-01-11T07:50,1971-01-11T17:24,0.000,0.000,0.00,0.0,11.9,23.0
1971-01-12,32.5,25.4,25.5,16.3,1971-01-12T07:49,1971-01-12T17:25,0.000,0.000,0.00,0.0,8.4,18.3
1971-01-13,37.6,24.7,31.4,15.5,1971-01-13T07:49,1971-01-13T17:26,0.350,0.320,0.49,16.0,8.3,16.8
1971-01-14,46.0,30.6,41.1,22.6,1971-01-14T07:49,1971-01-14T17:28,0.170,0.170,0.00,7.0,11.0,31.5
1971-01-15,29.0,20.4,20.5,9.0,1971-01-15T07:49,1971-01-15T17:29,0.000,0.000,0.00,0.0,13.4,29.3
1971-01-16,22.6,15.3,12.9,5.0,1971-01-16T07:48,1971-01-16T17:30,0.010,0.000,0.21,3.0,11.4,24.8
1971-01-17,20.9,5.3,14.3,-3.7,1971-01-17T07:48,1971-01-17T17:31,0.090,0.000,1.54,8.0,8.9,19.9
1971-01-18,19.1,4.3,9.0,-4.8,1971-01-18T07:47,1971-01-18T17:32,0.010,0.000,0.14,2.0,12.2,26.2
1971-01-19,13.8,-0.9,3.2,-11.1,1971-01-19T07:47,1971-01-19T17:33,0.000,0.000,0.00,0.0,11.2,24.2
1971-01-20,21.1,14.4,11.2,3.8,1971-01-20T07:46,1971-01-20T17:34,0.000,0.000,0.00,0.0,12.4,25.1
1971-01-21,34.5,20.9,24.3,9.0,1971-01-21T07:45,1971-01-21T17:35,0.020,0.000,0.28,4.0,17.4,35.1
1971-01-22,37.5,23.6,29.2,15.4,1971-01-22T07:45,1971-01-22T17:37,0.000,0.000,0.00,1.0,9.9,21.9
1971-01-23,36.3,24.3,28.0,13.1,1971-01-23T07:44,1971-01-23T17:38,0.040,0.030,0.21,3.0,14.7,30.4
1971-01-24,36.6,25.5,27.8,16.8,1971-01-24T07:43,1971-01-24T17:39,0.100,0.000,1.68,7.0,9.9,19.0
1971-01-25,38.0,30.5,30.2,23.2,1971-01-25T07:43,1971-01-25T17:40,0.000,0.000,0.00,0.0,10.6,20.4
1971-01-26,40.1,12.2,30.9,-3.0,1971-01-26T07:42,1971-01-26T17:41,0.110,0.030,1.33,16.0,28.5,59.3
1971-01-27,14.5,6.9,-0.8,-5.2,1971-01-27T07:41,1971-01-27T17:43,0.000,0.000,0.00,0.0,20.0,41.4
1971-01-28,14.7,6.0,1.3,-5.7,1971-01-28T07:40,1971-01-28T17:44,0.010,0.000,0.14,2.0,16.9,35.6
1971-01-29,42.6,5.7,28.0,-6.1,1971-01-29T07:39,1971-01-29T17:45,0.270,0.060,3.85,12.0,25.6,49.2
1971-01-30,36.0,0.2,20.8,-11.3,1971-01-30T07:39,1971-01-30T17:46,0.030,0.020,0.21,4.0,25.7,43.4
1971-01-31,4.7,-5.1,-8.3,-16.2,1971-01-31T07:38,1971-01-31T17:47,0.000,0.000,0.00,0.0,14.4,30.0
1971-02-01,4.9,-6.1,-8.3,-17.5,1971-02-01T07:37,1971-02-01T17:49,0.000,0.000,0.00,0.0,14.8,30.0
1971-02-02,11.1,-10.1,2.0,-20.0,1971-02-02T07:36,1971-02-02T17:50,0.000,0.000,0.00,0.0,9.4,17.2
1971-02-03,28.4,6.0,19.1,-3.5,1971-02-03T07:35,1971-02-03T17:51,0.080,0.000,1.40,9.0,8.3,16.6
1971-02-04,44.1,26.3,35.3,17.8,1971-02-04T07:34,1971-02-04T17:52,0.670,0.670,0.00,10.0,16.9,34.4
1971-02-05,49.1,31.9,40.6,19.4,1971-02-05T07:33,1971-02-05T17:53,0.300,0.290,0.07,9.0,21.3,43.8
1971-02-06,35.2,24.1,26.4,14.6,1971-02-06T07:32,1971-02-06T17:55,0.000,0.000,0.00,0.0,13.0,26.8
1971-02-07,29.7,25.7,21.7,16.2,1971-02-07T07:31,1971-02-07T17:56,0.120,0.000,2.17,14.0,10.5,23.3
1971-02-08,25.6,16.4,17.0,4.3,1971-02-08T07:29,1971-02-08T17:57,0.730,0.000,13.02,23.0,17.4,36.2
1971-02-09,16.8,2.7,4.6,-8.9,1971-02-09T07:28,1971-02-09T17:58,0.020,0.000,0.28,3.0,14.7,32.7
1971-02-10,19.1,2.3,8.5,-9.4,1971-02-10T07:27,1971-02-10T18:00,0.000,0.000,0.00,0.0,14.8,29.8
1971-02-11,40.2,16.9,31.4,5.9,1971-02-11T07:26,1971-02-11T18:01,0.000,0.000,0.00,1.0,15.5,30.0
1971-02-12,40.1,32.8,33.8,24.3,1971-02-12T07:25,1971-02-12T18:02,0.250,0.190,1.19,22.0,11.5,21.3
1971-02-13,28.2,10.9,18.2,-1.9,1971-02-13T07:23,1971-02-13T18:03,0.260,0.000,4.55,14.0,20.5,42.3
1971-02-14,19.2,3.6,10.0,-6.7,1971-02-14T07:22,1971-02-14T18:04,0.010,0.000,0.14,2.0,12.1,23.7
1971-02-15,29.2,20.2,22.2,11.4,1971-02-15T07:21,1971-02-15T18:06,0.020,0.000,0.35,5.0,8.4,19.5
1971-02-16,33.8,24.6,26.2,17.5,1971-02-16T07:20,1971-02-16T18:07,0.000,0.000,0.00,0.0,9.0,17.7
1971-02-17,40.1,30.0,32.2,20.5,1971-02-17T07:18,1971-02-17T18:08,0.220,0.220,0.00,7.0,14.0,30.9
1971-02-18,46.5,31.7,39.6,24.2,1971-02-18T07:17,1971-02-18T18:09,0.000,0.000,0.00,1.0,8.8,17.0
