
time,ActualTempMax,ActualTempmMin,FeltTempMax,FeltTempMin,sunrise(iso8601),sunset(iso8601),precipitation_sum(inch),rain_sum(inch),snowfall_sum(cm),precipitation_hours(h),windspeed_10m_max(mp/h),windgusts_10m_max(mp/h)
2016-01-01,30.7,26.2,19.8,14.9,2016-01-01T07:51,2016-01-01T17:15,0.000,0.000,0.00,0.0,14.8,30.9
2016-01-02,34.8,24.5,25.3,15.5,2016-01-02T07:51,2016-01-02T17:16,0.000,0.000,0.00,0.0,12.8,27.5
2016-01-03,32.1,28.2,23.5,20.0,2016-01-03T07:51,2016-01-03T17:16,0.000,0.000,0.00,0.0,12.9,24.8
2016-01-04,28.1,17.4,19.8,7.7,2016-01-04T07:51,2016-01-04T17:17,0.000,0.000,0.28,1.0,12.2,31.3
2016-01-05,28.6,10.0,20.4,1.8,2016-01-05T07:51,2016-01-05T17:18,0.000,0.000,0.00,0.0,7.7,15.7
2016-01-06,39.1,16.6,31.3,7.7,2016-01-06T07:51,2016-01-06T17:19,0.000,0.000,0.00,0.0,6.7,16.3
2016-01-07,45.9,23.1,38.3,15.7,2016-01-07T07:51,2016-01-07T17:20,0.000,0.000,0.00,0.0,5.0,10.3
2016-01-08,44.3,29.7,39.1,22.4,2016-01-08T07:50,2016-01-08T17:21,0.210,0.210,0.00,8.0,9.3,18.8
2016-01-09,49.7,45.1,45.5,39.4,2016-01-09T07:50,2016-01-09T17:22,0.040,0.040,0.00,5.0,10.4,21.3
2016-01-10,47.3,13.7,40.6,0.9,2016-01-10T07:50,2016-01-10T17:23,0.730,0.560,3.29,14.0,20.7,43.6
2016-01-11,22.4,5.7,12.0,-5.6,2016-01-11T07:50,2016-01-11T17:24,0.000,0.000,0.14,0.0,14.3,29.8
2016-01-12,27.9,8.8,16.9,-3.0,2016-01-12T07:50,2016-01-12T17:25,0.160,0.000,2.73,14.0,19.3,39.1
2016-01-13,21.2,3.4,9.9,-6.7,2016-01-13T07:49,2016-01-13T17:26,0.030,0.000,0.63,3.0,12.4,23.5
2016-01-14,44.0,22.0,35.7,10.8,2016-01-14T07:49,2016-01-14T17:27,0.000,0.000,0.00,0.0,12.4,24.6
2016-01-15,46.2,37.1,38.1,28.6,2016-01-15T07:49,2016-01-15T17:28,0.180,0.180,0.00,6.0,11.9,21.9
2016-01-16,39.6,28.9,31.7,20.7,2016-01-16T07:48,2016-01-16T17:29,0.000,0.000,0.14,0.0,12.1,25.7
2016-01-17,29.0,5.2,20.8,-7.4,2016-01-17T07:48,2016-01-17T17:31,0.000,0.000,0.28,0.0,14.9,32.9
2016-01-18,10.0,1.7,-1.9,-9.9,2016-01-18T07:47,2016-01-18T17:32,0.000,0.000,0.00,0.0,12.8,28.4
2016-01-19,17.1,3.3,8.0,-6.8,2016-01-19T07:47,2016-01-19T17:33,0.000,0.000,0.00,0.0,10.5,21.7
2016-01-20,17.3,7.0,10.1,-1.3,2016-01-20T07:46,2016-01-20T17:34,0.040,0.000,0.98,5.0,5.7,12.5
2016-01-21,24.2,8.9,17.7,0.9,2016-01-21T07:46,2016-01-21T17:35,0.000,0.000,0.00,0.0,5.2,9.6
2016-01-22,25.5,15.7,14.3,7.7,2016-01-22T07:45,2016-01-22T17:36,0.000,0.000,0.14,0.0,14.0,27.5
2016-01-23,27.4,16.5,16.4,8.4,2016-01-23T07:44,2016-01-23T17:38,0.000,0.000,0.35,0.0,15.2,33.1
2016-01-24,32.5,14.1,22.6,5.8,2016-01-24T07:44,2016-01-24T17:39,0.000,0.000,0.00,0.0,10.6,24.2
