
time,ActualTempMax,ActualTempMin,FeltTemp Max,FeltTempMin,sunrise(iso8601),sunset(iso8601),precipitation_sum(inch),rain_sum(inch),snowfall_sum (cm),precipitation_hours(h),windspeed_10m_max(mp/h),windgusts_10m_max(mp/h)
1970-01-01,30.2,23.2,21.9,16.2,1970-01-01T07:51,1970-01-01T17:15,0.100,0.000,1.68,9.0,9.3,18.1
1970-01-02,28.8,20.3,23.0,13.4,1970-01-02T07:51,1970-01-02T17:16,0.110,0.000,1.96,7.0,9.9,17.7
1970-01-03,26.6,10.5,19.9,1.5,1970-01-03T07:51,1970-01-03T17:17,0.030,0.000,0.49,6.0,10.9,24.2
1970-01-04,20.8,9.5,10.8,0.6,1970-01-04T07:51,1970-01-04T17:18,0.000,0.000,0.00,0.0,9.9,20.6
1970-01-05,30.8,14.3,22.9,5.8,1970-01-05T07:51,1970-01-05T17:19,0.010,0.000,0.21,3.0,9.4,19.7
1970-01-06,20.5,11.4,12.5,2.5,1970-01-06T07:51,1970-01-06T17:20,0.010,0.000,0.14,2.0,8.6,15.7
1970-01-07,10.8,-4.9,1.6,-16.5,1970-01-07T07:50,1970-01-07T17:21,0.000,0.000,0.00,0.0,12.7,24.2
1970-01-08,-3.8,-8.3,-16.1,-20.8,1970-01-08T07:50,1970-01-08T17:22,0.030,0.000,0.49,7.0,16.4,33.3
1970-01-09,4.6,-5.1,-6.5,-18.2,1970-01-09T07:50,1970-01-09T17:23,0.040,0.000,0.77,11.0,15.2,30.2
1970-01-10,13.4,4.3,3.0,-6.7,1970-01-10T07:50,1970-01-10T17:24,0.000,0.000,0.00,0.0,10.7,20.6
1970-01-11,23.1,4.8,15.6,-3.9,1970-01-11T07:50,1970-01-11T17:25,0.130,0.000,2.31,14.0,6.4,13.6
1970-01-12,26.2,17.5,16.3,7.5,1970-01-12T07:49,1970-01-12T17:26,0.000,0.000,0.00,0.0,12.7,25.7
1970-01-13,24.4,11.9,15.1,2.5,1970-01-13T07:49,1970-01-13T17:27,0.000,0.000,0.00,0.0,9.9,19.2
1970-01-14,24.5,14.2,17.0,5.3,1970-01-14T07:49,1970-01-14T17:28,0.070,0.000,1.33,10.0,6.4,11.9
1970-01-15,34.9,12.4,27.6,3.5,1970-01-15T07:48,1970-01-15T17:29,0.000,0.000,0.00,0.0,7.5,14.1
1970-01-16,42.5,26.2,34.1,17.6,1970-01-16T07:48,1970-01-16T17:30,0.000,0.000,0.00,0.0,9.7,18.1
1970-01-17,38.9,33.9,32.8,28.0,1970-01-17T07:47,1970-01-17T17:31,0.100,0.090,0.14,18.0,7.3,15.0
1970-01-18,32.0,9.0,25.0,0.6,1970-01-18T07:47,1970-01-18T17:32,0.020,0.000,0.28,4.0,10.8,22.8
1970-01-19,16.6,2.5,7.1,-6.3,1970-01-19T07:46,1970-01-19T17:33,0.030,0.000,0.56,6.0,9.6,20.1
1970-01-20,8.3,-3.3,-2.0,-16.7,1970-01-20T07:46,1970-01-20T17:35,0.040,0.000,0.77,10.0,15.0,30.4
1970-01-21,6.5,-2.3,-4.7,-12.9,1970-01-21T07:45,1970-01-21T17:36,0.000,0.000,0.00,0.0,11.6,25.5
1970-01-22,14.6,-14.2,3.7,-23.6,1970-01-22T07:45,1970-01-22T17:37,0.000,0.000,0.00,0.0,10.5,19.0
1970-01-23,22.3,10.7,13.3,1.8,1970-01-23T07:44,1970-01-23T17:38,0.060,0.000,0.98,8.0,10.4,19.0
1970-01-24,28.1,-5.6,18.1,-14.7,1970-01-24T07:43,1970-01-24T17:39,0.070,0.010,1.12,8.0,13.5,23.9
1970-01-25,44.3,29.0,36.9,19.0,1970-01-25T07:43,1970-01-25T17:40,0.050,0.050,0.00,5.0,14.7,29.3
1970-01-26,37.0,28.6,27.7,22.2,1970-01-26T07:42,1970-01-26T17:42,0.120,0.010,1.89,13.0,14.0,29.1
1970-01-27,34.6,28.2,26.2,21.0,1970-01-27T07:41,1970-01-27T17:43,0.100,0.000,1.75,11.0,16.8,32.7
1970-01-28,54.3,29.7,47.4,20.8,1970-01-28T07:40,1970-01-28T17:44,0.090,0.090,0.00,6.0,19.3,39.1
1970-01-29,54.2,24.6,50.7,13.6,1970-01-29T07:39,1970-01-29T17:45,0.620,0.610,0.28,16.0,13.4,36.0
1970-01-30,27.3,19.0,18.4,9.0,1970-01-30T07:38,1970-01-30T17:46,0.040,0.000,0.63,9.0,12.6,25.7
1970-01-31,41.9,21.4,31.4,13.0,1970-01-31T07:37,1970-01-31T17:48,0.000,0.000,0.00,0.0,15.0,30.2
1970-02-01,45.7,34.8,35.2,23.6,1970-02-01T07:36,1970-02-01T17:49,0.000,0.000,0.00,0.0,14.3,29.1
1970-02-02,41.6,28.7,35.5,18.8,1970-02-02T07:36,1970-02-02T17:50,0.770,0.400,6.51,23.0,13.2,25.1
1970-02-03,23.5,1.0,12.4,-10.5,1970-02-03T07:35,1970-02-03T17:51,0.080,0.000,1.47,10.0,14.5,30.4
1970-02-04,20.0,-10.5,8.4,-20.7,1970-02-04T07:34,1970-02-04T17:53,0.010,0.000,0.21,3.0,14.4,28.0
1970-02-05,35.4,22.2,28.8,10.9,1970-02-05T07:32,1970-02-05T17:54,0.030,0.000,0.49,5.0,13.3,25.9
1970-02-06,33.9,25.6,27.6,18.1,1970-02-06T07:31,1970-02-06T17:55,0.000,0.000,0.00,0.0,6.5,11.2
1970-02-07,37.1,21.1,30.5,12.5,1970-02-07T07:30,1970-02-07T17:56,0.100,0.000,1.68,7.0,7.5,14.1
1970-02-08,38.0,34.2,32.2,28.8,1970-02-08T07:29,1970-02-08T17:57,0.200,0.170,0.56,13.0,7.8,14.5
1970-02-09,37.5,33.2,33.1,27.5,1970-02-09T07:28,1970-02-09T17:59,0.360,0.350,0.21,19.0,7.2,13.6
1970-02-10,33.5,26.6,26.8,16.8,1970-02-10T07:27,1970-02-10T18:00,0.040,0.000,0.70,5.0,12.0,24.6
1970-02-11,30.9,26.1,21.3,16.4,1970-02-11T07:26,1970-02-11T18:01,0.030,0.000,0.56,7.0,12.9,24.6
1970-02-12,24.8,16.4,14.7,6.0,1970-02-12T07:24,1970-02-12T18:02,0.040,0.000,0.63,6.0,14.8,30.4
1970-02-13,21.5,6.3,10.8,-2.8,1970-02-13T07:23,1970-02-13T18:03,0.030,0.000,0.49,5.0,13.2,24.2
1970-02-14,23.4,3.3,15.0,-5.9,1970-02-14T07:22,1970-02-14T18:05,0.070,0.000,1.26,13.0,7.3,15.9
1970-02-15,26.1,17.3,17.4,8.7,1970-02-15T07:21,1970-02-15T18:06,0.190,0.000,3.36,13.0,9.1,19.9
1970-02-16,30.3,7.6,23.5,-1.1,1970-02-16T07:19,1970-02-16T18:07,0.000,0.000,0.00,0.0,7.1,12.3
1970-02-17,40.7,13.0,32.7,4.4,1970-02-17T07:18,1970-02-17T18:08,0.000,0.000,0.00,0.0,8.3,13.9
1970-02-18,52.4,31.1,43.3,22.1,1970-02-18T07:17,1970-02-18T18:09,0.000,0.000,0.00,1.0,14.4,27.3
1970-02-19,42.2,21.8,35.2,10.3,1970-02-19T07:15,1970-02-19T18:11,0.050,0.030,0.35,6.0,13.9,27.7
1970-02-20,23.6,14.3,12.5,1.5,1970-02-20T07:14,1970-02-20T18:12,0.010,0.000,0.14,2.0,14.8,29.3
1970-02-21,36.9,15.5,26.5,4.8,1970-02-21T07:12,1970-02-21T18:13,0.000,0.000,0.00,0.0,14.1,29.3
1970-02-22,53.9,33.8,43.8,23.9,1970-02-22T07:11,1970-02-22T18:14,0.000,0.000,0.00,0.0,18.0,36.9
1970-02-23,41.2,27.4,32.5,18.5,1970-02-23T07:10,1970-02-23T18:15,0.000,0.000,0.00,0.0,9.3,23.0
1970-02-24,50.4,28.2,40.3,19.0,1970-02-24T07:08,1970-02-24T18:16,0.000,0.000,0.00,0.0,13.5,29.1
1970-02-25,43.6,11.2,35.4,-0.8,1970-02-25T07:07,1970-02-25T18:17,0.040,0.020,0.49,10.0,16.8,35.1
1970-02-26,30.3,6.5,19.0,-4.1,1970-02-26T07:05,1970-02-26T18:19,0.000,0.000,0.00,0.0,15.3,33.6
1970-02-27,35.9,28.3,24.5,18.4,1970-02-27T07:04,1970-02-27T18:20,0.020,0.000,0.35,4.0,16.3,33.1
1970-02-28,38.2,21.5,30.7,13.4,1970-02-28T07:02,1970-02-28T18:21,0.000,0.000,0.00,0.0,7.0,16.3
1970-03-01,55.1,28.6,47.5,20.0,1970-03-01T07:01,1970-03-01T18:22,0.030,0.020,0.07,2.0,8.5,18.8
1970-03-02,46.9,42.0,44.0,38.4,1970-03-02T06:59,1970-03-02T18:23,0.140,0.140,0.00,9.0,6.8,11.6
1970-03-03,61.9,43.6,58.5,39.1,1970-03-03T06:58,1970-03-03T18:24,0.290,0.290,0.00,13.0,10.8,22.1
1970-03-04,54.1,46.5,51.7,41.3,1970-03-04T06:56,1970-03-04T18:25,0.950,0.950,0.00,22.0,12.4,24.4
1970-03-05,41.8,29.7,35.2,21.6,1970-03-05T06:55,1970-03-05T18:26,0.020,0.010,0.28,6.0,12.7,27.1
1970-03-06,45.5,23.4,38.4,16.0,1970-03-06T06:53,1970-03-06T18:27,0.000,0.000,0.00,0.0,6.4,14.3
1970-03-07,47.4,31.8,37.1,25.2,1970-03-07T06:52,1970-03-07T18:29,0.000,0.000,0.00,1.0,13.5,28.2
1970-03-08,37.8,22.4,29.5,13.3,1970-03-08T06:50,1970-03-08T18:30,0.000,0.000,0.00,0.0,11.6,23.5
1970-03-09,36.5,23.5,26.4,13.4,1970-03-09T06:48,1970-03-09T18:31,0.050,0.000,0.91,8.0,10.4,21.9
1970-03-10,32.1,21.9,23.3,12.2,1970-03-10T06:47,1970-03-10T18:32,0.000,0.000,0.00,0.0,9.2,19.0
1970-03-11,39.1,20.5,29.8,12.6,1970-03-11T06:45,1970-03-11T18:33,0.000,0.000,0.00,0.0,8.5,19.0
1970-03-12,31.7,26.8,20.9,16.0,1970-03-12T06:44,1970-03-12T18:34,0.220,0.000,3.92,16.0,13.0,28.6
1970-03-13,34.1,21.3,24.7,11.0,1970-03-13T06:42,1970-03-13T18:35,0.020,0.000,0.35,4.0,12.3,25.3
1970-03-14,26.6,18.2,16.4,6.9,1970-03-14T06:40,1970-03-14T18:36,0.040,0.000,0.77,11.0,15.3,32.4
1970-03-15,24.6,12.7,14.9,3.8,1970-03-15T06:39,1970-03-15T18:37,0.050,0.000,0.84,9.0,9.8,23.7
1970-03-16,28.7,11.5,20.1,2.0,1970-03-16T06:37,1970-03-16T18:38,0.000,0.000,0.00,0.0,9.0,19.9
1970-03-17,36.0,18.2,28.8,11.3,1970-03-17T06:35,1970-03-17T18:39,0.080,0.000,1.33,5.0,7.2,15.9
1970-03-18,39.4,32.7,33.9,25.4,1970-03-18T06:34,1970-03-18T18:40,0.210,0.010,3.57,11.0,8.1,15.9
1970-03-19,49.5,36.0,44.2,29.7,1970-03-19T06:32,1970-03-19T18:41,0.030,0.030,0.00,5.0,10.7,21.5
1970-03-20,46.1,36.0,38.4,25.9,1970-03-20T06:31,1970-03-20T18:42,0.060,0.060,0.00,6.0,17.2,35.3
